YEAR ,LocationAbbr ,LocationDesc ,DataSource ,Topic ,Subtopic ,ShortQuestionText ,Greater_Risk_Question ,Description ,Data_Value_Symbol ,Data_Value_Type ,Greater_Risk_Data_Value ,Greater_Risk_Data_Value_Footnote_Symbol ,Greater_Risk_Data_Value_Footnote ,Greater_Risk_Low_Confidence_Limit ,Greater_Risk_High_Confidence_Limit ,Lesser_Risk_Question ,Lesser_Risk_Data_Value ,Lesser_Risk_Data_Value_Footnote_Symbol ,Lesser_Risk_Data_Value_Footnote ,Lesser_Risk_Low_Confidence_Limit ,Lesser_Risk_High_Confidence_Limit ,Sample_Size ,Sex ,Race ,Grade ,SexualIdentity ,SexOfSexualContacts ,GeoLocation ,TopicId ,SubTopicID ,QuestionCode ,LocationId ,StratID1 ,StratID2 ,StratID3 ,StratID4 ,StratID5 ,StratificationType ,StratID6 
2015,NH,New Hampshire,YRBSS,Tobacco Use,Other Tobacco Use,Current cigar use,Currently smoked cigars,"cigars, cigarillos, or little cigars, on at least 1 day during the 30 days before the survey",%,Percentage,10.9658,,,10.0442,11.9607,Did not currently smoke cigars,89.0342,,,88.0393,89.9558,14787,Total,Total,Total,Total,Total,"(43.655950113, -71.50036092)",C02,C13,H38,33,S1,R1,G1,NH,I1,State,P1
2015,OL,"Orange County, FL",YRBSS,Tobacco Use,Other Tobacco Use,Current cigar use,Currently smoked cigars,"cigars, cigarillos, or little cigars, on at least 1 day during the 30 days before the survey",%,Percentage,7.9765,,,6.3726,9.9412,Did not currently smoke cigars,92.0235,,,90.0588,93.6274,1447,Total,Total,Total,Total,Total,"(28.4845, -81.251883)",C02,C13,H38,109,S1,R1,G1,OL,I1,Local,P1
2017,MO,Missouri,YRBSS,Tobacco Use,Other Tobacco Use,Current daily cigar use,Currently smoked cigars daily,"cigars, cigarillos, or little cigars, on all 30 days during the 30 days before the survey",%,Percentage,0.415,,,0.114,1.4983,Did not currently smoke cigars daily,99.585,,,98.5017,99.886,1789,Total,Total,Total,Total,Total,"(38.635790776, -92.566300053)",C02,C13,QNDAYCGR,29,S1,R1,G1,MO,I1,State,P1
2017,BO,"Boston, MA",YRBSS,Tobacco Use,Other Tobacco Use,Current daily cigar use,Currently smoked cigars daily,"cigars, cigarillos, or little cigars, on all 30 days during the 30 days before the survey",%,Percentage,0.4521,,,0.1983,1.0275,Did not currently smoke cigars daily,99.5479,,,98.9725,99.8017,1572,Total,Total,Total,Total,Total,"(42.360083, -71.05888)",C02,C13,QNDAYCGR,114,S1,R1,G1,BO,I1,Local,P1
2017,PR,Puerto Rico,YRBSS,Tobacco Use,Other Tobacco Use,Frequent cigar use,Currently frequently smoked cigars,"cigars, cigarillos, or little cigars, on 20 or more days during the 30 days before the survey",%,Percentage,0.5829,,,0.2104,1.6044,Did not currently frequently smoke cigars,99.4171,,,98.3956,99.7896,1704,Total,Total,Total,Total,Total,"(18.220833, -66.590149)",C02,C13,QNFRCGR,72,S1,R1,G1,PR,I1,Territory,P1
2017,MD,Maryland,YRBSS,Tobacco Use,Other Tobacco Use,Frequent cigar use,Currently frequently smoked cigars,"cigars, cigarillos, or little cigars, on 20 or more days during the 30 days before the survey",%,Percentage,1.3028,,,1.1674,1.4535,Did not currently frequently smoke cigars,98.6972,,,98.5465,98.8326,49851,Total,Total,Total,Total,Total,"(39.290580964, -76.609260111)",C02,C13,QNFRCGR,24,S1,R1,G1,MD,I1,State,P1
2017,SA,"San Diego, CA",YRBSS,Tobacco Use,Other Tobacco Use,Frequent cigar use,Currently frequently smoked cigars,"cigars, cigarillos, or little cigars, on 20 or more days during the 30 days before the survey",%,Percentage,0.7691,,,0.3964,1.4867,Did not currently frequently smoke cigars,99.2309,,,98.5133,99.6036,2403,Total,Total,Total,Total,Total,"(32.715738, -117.161084)",C02,C13,QNFRCGR,103,S1,R1,G1,SA,I1,Local,P1
2015,MS,Mississippi,YRBSS,Tobacco Use,Other Tobacco Use,Frequent cigar use,Currently frequently smoked cigars,"cigars, cigarillos, or little cigars, on 20 or more days during the 30 days before the survey",%,Percentage,2.1279,,,1.5308,2.9509,Did not currently frequently smoke cigars,97.8721,,,97.0491,98.4692,2144,Total,Total,Total,Total,Total,"(32.745510099, -89.538030825)",C02,C13,QNFRCGR,28,S1,R1,G1,MS,I1,State,P1
2017,NYJ,"Borough of Queens, NY",YRBSS,Tobacco Use,Other Tobacco Use,Current daily cigar use,Currently smoked cigars daily,"cigars, cigarillos, or little cigars, on all 30 days during the 30 days before the survey",%,Percentage,0.8523,,,0.3745,1.928,Did not currently smoke cigars daily,99.1477,,,98.072,99.6255,1437,Total,Total,Total,Total,Total,"(40.728224, -73.794852)",C02,C13,QNDAYCGR,119,S1,R1,G1,NYJ,I1,Local,P1
2017,TN,Tennessee,YRBSS,Tobacco Use,Other Tobacco Use,Current cigar use,Currently smoked cigars,"cigars, cigarillos, or little cigars, on at least 1 day during the 30 days before the survey",%,Percentage,9.6468,,,8.1013,11.4504,Did not currently smoke cigars,90.3532,,,88.5496,91.8987,2006,Total,Total,Total,Total,Total,"(35.68094058, -85.774490914)",C02,C13,H38,47,S1,R1,G1,TN,I1,State,P1
2015,FW,"Fort Worth, TX",YRBSS,Tobacco Use,Other Tobacco Use,Frequent cigar use,Currently frequently smoked cigars,"cigars, cigarillos, or little cigars, on 20 or more days during the 30 days before the survey",%,Percentage,1.0455,,,0.7102,1.5367,Did not currently frequently smoke cigars,98.9545,,,98.4633,99.2898,2579,Total,Total,Total,Total,Total,"(32.755488, -97.330766)",C02,C13,QNFRCGR,127,S1,R1,G1,FW,I1,Local,P1
2017,PH,"Philadelphia, PA",YRBSS,Tobacco Use,Other Tobacco Use,Current daily cigar use,Currently smoked cigars daily,"cigars, cigarillos, or little cigars, on all 30 days during the 30 days before the survey",%,Percentage,0.5829,,,0.2245,1.505,Did not currently smoke cigars daily,99.4171,,,98.495,99.7755,1548,Total,Total,Total,Total,Total,"(39.952584, -75.165222)",C02,C13,QNDAYCGR,124,S1,R1,G1,PH,I1,Local,P1
2017,NYH,"Borough of Brooklyn, NY",YRBSS,Tobacco Use,Other Tobacco Use,Current cigar use,Currently smoked cigars,"cigars, cigarillos, or little cigars, on at least 1 day during the 30 days before the survey",%,Percentage,5.8917,,,4.0318,8.5334,Did not currently smoke cigars,94.1083,,,91.4666,95.9682,2670,Total,Total,Total,Total,Total,"(40.678178, -73.944158)",C02,C13,H38,117,S1,R1,G1,NYH,I1,Local,P1
